iter	Logloss
0	0.6712037006
1	0.6533389768
2	0.6391157821
3	0.6275371005
4	0.6180815228
5	0.6112427517
6	0.6056263952
7	0.6015026695
8	0.5981021999
9	0.5949932686
10	0.5914466712
11	0.5887169719
12	0.5865764746
13	0.5845417441
14	0.5829206261
15	0.5817646012
16	0.5808114057
17	0.5796246778
18	0.5784913897
19	0.57766283
20	0.5767915376
21	0.5756934745
22	0.5747045317
23	0.5739661172
24	0.5733786449
25	0.5724993254
26	0.5719620299
27	0.5713475855
28	0.570562899
29	0.5700050275
30	0.5694199156
31	0.5688237202
32	0.568125224
33	0.5676985577
34	0.5671991391
35	0.5663588874
36	0.5659372236
37	0.56548571
38	0.5652475982
39	0.5648924811
40	0.5643994965
41	0.5639300792
42	0.5632560471
43	0.5629714957
44	0.5626372647
45	0.5620472022
46	0.5616001207
47	0.5611414172
48	0.5607396053
49	0.5602653893
50	0.5598657639
51	0.5594745551
52	0.5592381354
53	0.5589387058
54	0.5584593337
55	0.5579667929
56	0.5575292482
57	0.5570221088
58	0.5567215777
59	0.5565134846
60	0.5558781297
61	0.5555783568
62	0.554983879
63	0.5547165597
64	0.5542497113
65	0.5539427018
66	0.5536509851
67	0.55349148
68	0.553112683
69	0.55270954
70	0.5525069738
71	0.5520589156
72	0.5518122341
73	0.5513990253
74	0.5511429289
75	0.5509706439
76	0.5505271169
77	0.5502161046
78	0.5500412208
79	0.5497724258
80	0.5495440578
81	0.54900482
82	0.5484216501
83	0.5482966341
84	0.5478471614
85	0.5472723458
86	0.5471956594
87	0.5464702691
88	0.5462060296
89	0.5456968617
90	0.5452575947
91	0.5449712702
92	0.5445980372
93	0.5442220096
94	0.5437465665
95	0.5432874661
96	0.5428792467
97	0.5426523245
98	0.5422061058
99	0.5417701056
