iter	Passed	Remaining
0	14	1464
1	27	1353
2	39	1282
3	51	1235
4	64	1231
5	78	1230
6	93	1236
7	106	1221
8	119	1211
9	132	1188
10	145	1181
11	158	1162
12	171	1149
13	184	1131
14	196	1113
15	209	1099
16	222	1085
17	235	1071
18	248	1057
19	260	1043
20	273	1030
21	287	1018
22	302	1012
23	315	1000
24	328	984
25	341	971
26	353	956
27	366	942
28	378	927
29	391	913
30	405	903
31	419	890
32	432	878
33	444	863
34	457	850
35	470	837
36	483	823
37	498	812
38	509	797
39	523	785
40	536	771
41	548	757
42	561	743
43	572	729
44	585	715
45	598	702
46	611	689
47	624	676
48	638	664
49	651	651
50	667	641
51	681	629
52	697	618
53	717	611
54	732	599
55	745	585
56	758	572
57	771	558
58	784	545
59	796	531
60	809	517
61	820	502
62	834	489
63	847	476
64	860	463
65	872	449
66	885	435
67	898	422
68	913	410
69	926	397
70	939	383
71	951	370
72	964	356
73	976	343
74	989	329
75	1001	316
76	1013	302
77	1027	289
78	1039	276
79	1052	263
80	1064	249
81	1078	236
82	1091	223
83	1105	210
84	1118	197
85	1132	184
86	1145	171
87	1158	157
88	1170	144
89	1182	131
90	1195	118
91	1208	105
92	1221	91
93	1233	78
94	1247	65
95	1260	52
96	1272	39
97	1285	26
98	1297	13
99	1327	0
